City,Cloudiness,Country,Date,Humidity,Lat,Long,Max temp,Wind Speed
Khuzdar,21,PK,1592242329,11,27.74,66.64,86.41,9.33
Ambon City,68,ID,1592242329,96,-3.7,128.18,82.0,8.12
Tautira,75,PF,1592242047,83,-17.73,-149.15,75.2,3.36
Gweta,52,BW,1592242330,41,-20.18,25.23,65.34,2.44
Carutapera,93,BR,1592242330,78,-1.2,-46.02,83.23,7.45
Codrington,100,AU,1592242330,85,-38.27,141.97,53.56,13.69
Kingman,1,US,1592242330,12,35.19,-114.05,89.01,13.87
Kumul,5,CN,1592242330,19,42.8,93.45,80.1,12.88
Ţahţā,0,EG,1592242331,14,26.77,31.5,93.2,14.99
Opuwo,0,NA,1592242331,34,-18.06,13.84,62.38,9.35
Palmer,75,US,1592242331,37,42.16,-72.33,73.0,10.29
Sørland,24,NO,1592242331,76,67.67,12.69,50.0,16.11
Karratha,0,AU,1592242332,38,-20.74,116.85,70.93,14.29
Nanuque,11,BR,1592242332,57,-17.84,-40.35,80.31,15.77
Acajutla,20,SV,1592242232,66,13.59,-89.83,87.8,4.7
Qian’an,0,CN,1592242332,56,44.99,124.06,64.96,6.71
Hailin,47,CN,1592242332,92,44.58,129.42,51.22,2.19
Sillod,100,IN,1592242333,86,20.3,75.65,76.57,0.81
Malbork,49,PL,1592242333,70,54.04,19.03,63.0,1.81
Maxixe,75,MZ,1592242333,82,-23.86,35.35,66.2,8.05
Río Gallegos,99,AR,1592242211,69,-51.62,-69.22,37.4,4.7
Seoni,98,IN,1592242333,75,22.08,79.53,80.8,5.59
Alyangula,1,AU,1592242334,94,-13.85,136.42,69.8,3.36
Lata,79,PT,1592242100,69,40.16,-8.33,72.0,10.29
Salinas,1,US,1592241802,60,36.68,-121.66,75.0,4.7
Khorixas,0,NA,1592242334,27,-20.37,14.97,64.78,10.29
Naliya,100,IN,1592242334,77,23.27,68.83,86.04,12.8
Todos Santos,0,MX,1592242255,82,23.45,-110.22,72.0,4.0
Hasaki,75,JP,1592242335,83,35.73,140.83,72.0,9.17
Mombetsu,95,JP,1592242335,91,44.35,143.35,55.0,3.67
Meiktila,98,MM,1592242335,78,20.87,95.87,79.61,19.24
Mayahi,9,NE,1592242335,20,13.96,7.67,103.28,7.65
Novobirilyussy,53,RU,1592242335,85,56.95,90.67,48.18,3.94
Qaqortoq,75,GL,1592242336,56,60.72,-46.03,44.6,9.17
Santa María del Oro,0,MX,1592242336,19,25.93,-105.37,81.25,5.48
Novobiryusinskiy,48,RU,1592242336,77,56.96,97.71,47.84,2.44
Yagodnoye,78,RU,1592242336,66,62.55,149.67,55.72,1.21
Kaura Namoda,0,NG,1592242336,34,12.59,6.58,96.55,5.1
Tigil',46,RU,1592242337,54,57.8,158.67,50.38,2.53
San Vicente,2,AR,1592242337,57,-26.62,-54.13,75.69,5.21
Matagami,75,CA,1592242337,27,49.75,-77.63,73.4,10.29
Liverpool,20,GB,1592242301,68,53.41,-2.98,71.01,10.29
Nosy Varika,5,MG,1592242337,90,-20.58,48.53,64.17,6.91
Celina,75,US,1592242338,56,40.55,-84.57,73.99,10.29
Thunder Bay,75,CA,1592242338,42,48.4,-89.32,66.2,9.17
Lashio,97,MM,1592242338,97,22.93,97.75,69.42,1.21
Akdepe,0,TM,1592242338,27,42.06,59.38,87.8,11.41
Tiébissou,40,CI,1592242338,70,7.16,-5.23,86.0,3.29
Zhirnovsk,1,RU,1592242338,78,50.98,44.77,60.26,10.33
Morden,1,CA,1592242339,58,49.19,-98.1,82.4,16.11
Haines Junction,47,CA,1592242339,50,60.75,-137.51,60.84,1.66
Lubartów,75,PL,1592242339,82,51.46,22.61,70.0,1.12
Lufilufi,75,WS,1592242339,94,-13.87,-171.6,77.0,8.05
Namuac,70,PH,1592242339,83,18.61,121.17,80.17,1.41
Ngaoundéré,72,CM,1592242340,90,7.32,13.58,69.17,1.5
Kungurtug,71,RU,1592242340,87,50.6,97.52,51.35,1.28
Namwala,41,ZM,1592242340,57,-15.75,26.44,59.31,5.75
Pinega,93,RU,1592242340,55,64.7,43.39,67.19,4.74
Poretskoye,15,RU,1592242340,86,55.2,46.33,58.17,1.54
Tsaratanana,72,MG,1592242340,60,-16.78,47.65,69.64,9.55
Château-Gontier,67,FR,1592242341,82,47.83,-0.7,64.99,11.18
Mossamedes,10,AO,1592241849,50,-15.2,12.15,75.7,5.32
Owando,97,CG,1592242341,67,-0.48,15.9,81.03,2.62
Bozoum,75,CF,1592242106,84,6.32,16.38,76.59,2.93
Cervo,74,ES,1592242341,1,43.67,-7.41,64.0,8.99
Tegul'det,78,RU,1592242342,96,57.31,88.17,42.8,4.32
Pahlgām,4,IN,1592242342,46,34.03,75.33,55.45,4.14
Burgeo,81,CA,1592242342,79,47.62,-57.62,55.71,9.46
Kuala Terengganu,20,MY,1592242343,94,5.33,103.14,78.8,3.36
Barentu,86,ER,1592242343,41,15.11,37.59,86.34,3.0
La Suiza,75,CR,1592242343,61,9.85,-83.61,86.0,13.87
Abhā,26,SA,1592242343,47,18.22,42.51,77.0,4.7
Salalah,40,OM,1592242343,94,17.02,54.09,84.2,6.93
Nador,2,MA,1592242344,41,35.17,-2.93,80.6,18.34
Kudahuvadhoo,96,MV,1592242344,77,2.67,72.89,84.0,15.41
Nhulunbuy,36,AU,1592242344,82,-12.23,136.77,78.26,14.72
Koutsouras,22,GR,1592242344,75,35.03,25.95,75.99,3.0
Rio Grande,40,BR,1592242166,68,-32.03,-52.1,64.4,16.11
Aklavik,75,CA,1592242345,76,68.22,-135.01,55.4,6.93
Niquero,99,CU,1592242345,61,20.04,-77.58,87.12,5.55
Strezhevoy,57,RU,1592242053,76,60.73,77.59,48.2,2.24
Gudāri,98,IN,1592242345,83,19.35,83.78,81.91,2.64
Palauig,100,PH,1592242345,72,15.44,119.9,81.32,7.18
Camalú,71,MX,1592242346,49,30.85,-116.07,70.0,1.99
Turukhansk,66,RU,1592242110,57,65.82,87.98,46.2,10.29
Cidreira,35,BR,1592242346,78,-30.18,-50.21,61.68,16.37
Chapais,1,CA,1592242110,26,49.78,-74.85,71.6,11.41
Ivanteyevka,99,RU,1592242347,46,55.97,37.92,72.0,11.18
Vanimo,88,PG,1592242347,84,-2.67,141.3,77.99,1.95
Hohhot,98,CN,1592242111,25,40.81,111.65,68.0,2.24
Beloha,3,MG,1592242347,93,-25.17,45.05,62.82,9.28
Muroto-misakicho,93,JP,1592242347,80,33.28,134.15,73.69,4.81
Manbij,0,SY,1592242348,44,36.53,37.95,78.8,11.41
Soyo,26,AO,1592242348,88,-6.13,12.37,72.91,9.37
Guane,52,CU,1592242348,62,22.2,-84.09,86.52,6.67
Balasore,95,IN,1592242264,76,21.49,86.93,84.78,7.49
Kimbe,24,PG,1592242348,87,-5.55,150.14,75.7,3.62
Djenné,26,ML,1592242348,20,13.91,-4.55,102.61,14.63
Benguela,0,AO,1592242349,83,-12.58,13.41,70.61,1.45
Solnechnyy,100,RU,1592242349,87,50.72,136.63,46.6,5.97
Chabahar,100,IR,1592242349,84,25.29,60.64,87.8,6.93
Santa Cruz de Barahona,40,DO,1592242349,59,18.21,-71.1,91.4,18.34
Najrān,12,SA,1592242349,15,17.49,44.13,89.6,2.24
Hofn,90,IS,1592242349,93,64.25,-15.21,50.0,14.99
Okha,100,RU,1592242350,97,53.57,142.95,36.86,8.66
Kahului,20,US,1592242350,65,20.89,-156.47,78.8,16.11
Tayginka,82,RU,1592242350,70,55.62,60.51,56.52,2.8
Kanniyākumāri,78,IN,1592242207,82,8.08,77.57,82.24,16.2
Gamba,75,GA,1592242350,87,-2.65,10.0,74.64,7.74
Boca do Acre,0,BR,1592242351,47,-8.75,-67.4,90.1,4.0
Altamont,90,US,1592242351,62,42.21,-121.74,54.0,9.17
Waingapu,42,ID,1592242351,83,-9.66,120.26,75.51,9.35
Xingyi,94,CN,1592242351,98,24.19,102.82,62.8,3.87
Chumikan,100,RU,1592242351,96,54.72,135.31,36.57,10.38
Sindou,2,BF,1592242352,37,10.67,-5.17,94.05,1.48
Havelock,100,US,1592242352,97,34.88,-76.9,69.01,12.17
Tumbes,40,PE,1592242352,62,-3.57,-80.44,84.2,11.45
Coquimbo,90,CL,1592242352,76,-29.95,-71.34,57.2,5.82
Luanda,1,AO,1592242352,83,-8.84,13.23,75.2,6.93
Yenagoa,82,NG,1592242353,90,4.92,6.26,77.54,6.31
Constitución,100,CL,1592242353,83,-35.33,-72.42,55.22,25.14
Orchard Homes,20,US,1592242353,54,46.86,-114.05,57.99,3.36
Iğdır,40,TR,1592242353,82,39.92,44.05,62.6,6.93
Colesberg,0,ZA,1592242353,50,-30.72,25.1,42.49,9.15
Edd,100,ER,1592242354,58,13.93,41.69,89.78,3.94
Terrace,75,CA,1592242354,76,54.52,-128.6,53.6,5.82
Bud,40,US,1592242354,46,39.45,-86.18,75.0,10.29
Aguascalientes,5,MX,1592242196,31,21.88,-102.3,75.2,4.7
Zhangaözen,54,KZ,1592242355,20,43.3,52.8,90.68,26.44
Maltahöhe,0,NA,1592242355,34,-24.83,16.98,52.86,10.67
Iquique,90,CL,1592242257,68,-20.22,-70.14,64.4,8.05
Sampit,64,ID,1592242355,96,-2.53,112.95,75.13,2.53
Xuanwu,90,CN,1592242355,100,32.07,118.81,75.99,2.24
Riberalta,5,BO,1592242356,44,-10.98,-66.1,89.49,3.15
Itacoatiara,12,BR,1592242356,70,-3.14,-58.44,86.0,6.93
Assiut,0,EG,1592242356,31,27.18,31.18,89.6,17.22
Baishishan,36,CN,1592242356,93,43.58,127.57,52.7,4.18
Semenivka,97,UA,1592242356,90,52.18,32.58,68.58,9.01
Vostok,94,RU,1592242356,100,46.49,135.88,46.51,0.56
Narsaq,75,GL,1592242357,56,60.92,-46.05,44.6,9.17
Quatre Cocos,75,MU,1592242357,78,-20.21,57.76,71.6,16.11
General Roca,93,AR,1592242357,52,-39.03,-67.58,44.6,5.82
Borogontsy,36,RU,1592242357,80,62.67,131.17,51.76,4.92
Saint-Pierre,0,RE,1592242357,69,-21.34,55.48,73.4,19.46
Slave Lake,90,CA,1592242149,76,55.28,-114.77,53.6,5.82
Tumpat,20,MY,1592242358,94,6.2,102.17,78.8,3.36
Pedernales,40,DO,1592242358,59,18.04,-71.74,91.4,18.34
Phuket,40,TH,1592242358,94,8.0,98.25,77.0,2.3
Timrå,100,SE,1592242358,36,62.49,17.33,75.99,6.93
Carballo,98,ES,1592242359,66,43.21,-8.69,64.99,7.0
Bathsheba,20,BB,1592242359,58,13.22,-59.52,87.8,20.8
Colonial Heights,90,US,1592242359,87,37.27,-77.41,62.01,10.29
Saint-Joseph,23,RE,1592242359,69,-21.37,55.62,73.4,19.46
Shellbrook,75,CA,1592242359,55,53.22,-106.4,62.6,17.22
Sur,82,OM,1592242359,58,22.57,59.53,90.1,11.86
Flinders,0,AU,1592242121,64,-34.58,150.86,61.0,8.99
Fortuna,90,US,1592242360,93,40.6,-124.16,63.0,7.36
Kiomboi,60,TZ,1592242360,52,-4.27,34.37,66.65,6.33
Mama,16,RU,1592242360,73,58.31,112.9,60.57,2.28
Shimoda,98,JP,1592242360,86,34.67,138.95,68.0,2.91
Santa Isabel Rio Negro,33,BR,1592242361,73,-0.41,-65.02,86.27,2.59
Yaan,74,NG,1592242361,74,7.38,8.57,81.7,4.07
Kamaishi,0,JP,1592242361,75,39.27,141.88,63.1,6.62
Kulhudhuffushi,83,MV,1592242361,79,6.62,73.07,84.36,16.96
Malpe,75,IN,1592242361,94,13.35,74.72,78.8,4.7
Coyhaique,90,CL,1592242361,78,-45.58,-72.07,33.8,6.93
Tura,100,IN,1592242123,96,25.52,90.22,76.23,5.19
Udachny,26,RU,1592242362,61,66.42,112.4,46.4,8.95
Mwingi,61,KE,1592242362,59,-0.93,38.06,68.61,6.85
College,75,US,1592242363,82,64.86,-147.8,61.0,3.29
Chāībāsa,100,IN,1592242363,80,22.57,85.82,82.83,4.36
Santoña,75,ES,1592242363,82,43.44,-3.46,63.0,3.36
Sadalgi,100,IN,1592242363,77,16.57,74.55,78.69,16.2
Emerald,0,AU,1592242363,76,-23.53,148.17,55.4,12.75
Grand Gaube,13,MU,1592242364,79,-20.01,57.66,69.01,8.01
Bandarbeyla,51,SO,1592242124,56,9.49,50.81,85.55,21.18
Monterey,38,US,1592242364,28,36.25,-121.25,77.0,5.01
Tual,93,ID,1592242125,83,-5.67,132.75,81.05,23.91
Labis,3,MY,1592242364,92,2.38,103.02,76.46,1.5
Coos Bay,90,US,1592242076,87,43.37,-124.22,59.0,8.05
